2024-10-08 21:54:25,008 [Worker-10] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' C:\Users\Acer\Videos\PracticaExamen\ProyectoExa\pom.xml
2024-10-08 21:54:25,981 [Worker-10] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: ProyectoMaven:ProyectoExa:0.0.1-SNAPSHOT @ C:\Users\Acer\Videos\PracticaExamen\ProyectoExa\pom.xml.
2024-10-08 21:54:26,713 [Worker-10] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ProyectoExa/src/main/java
2024-10-08 21:54:26,714 [Worker-10] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /ProyectoExa/src/main/resources
2024-10-08 21:54:26,715 [Worker-10] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ProyectoExa/src/test/java
2024-10-08 21:54:28,217 [Worker-10] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 3 sec
2024-10-08 21:54:28,566 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-08 21:54:28,571 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2024-10-08 21:54:28,572 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-08 21:54:28,573 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Acer\Videos\PracticaExamen\ProyectoExa\src\test\resources
2024-10-08 21:54:29,918 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2024-10-08 21:54:29,920 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
